,n,beta,bleu 1,bleu 2,bleu 3,bleu 4
0,10,0.0,0.2849611542729509,0.11560834160467275,0.03929553334389494,2.094314832387943e-06
1,10,0.05,0.6850899742926189,0.5028805337186792,0.35753779353443926,0.2541751148410926
2,10,0.1,0.7976273551983268,0.651623958283149,0.5303335265714987,0.43174995751616
3,10,0.15000000000000002,0.8093922651928112,0.682499723213772,0.5664744960143592,0.4651423865157446
4,10,0.2,0.8133150308848227,0.6908587897662095,0.5767213860839518,0.4762205317466483
5,10,0.25,0.8128011011694337,0.6935010497928724,0.5796875053528202,0.4794159154720991
6,10,0.30000000000000004,0.8196948682379891,0.7034644461196601,0.5891873311598618,0.4870827997562945
7,10,0.35000000000000003,0.8296089385469066,0.712734082717237,0.6023457672670313,0.5009600966758727
8,10,0.4,0.8318276580953219,0.7153635590528058,0.6058684911067541,0.5031481931339248
9,10,0.45,0.8317107093179196,0.7164927159711932,0.60790663004442,0.505867228818961
10,10,0.5,0.8314763231191982,0.7169486040430157,0.6093346942297382,0.5070150176176733
11,10,0.55,0.8358725761767065,0.7202125301716228,0.610971710972003,0.5078889100878821
12,10,0.6000000000000001,0.8351800554010836,0.718118820308384,0.6081663398117266,0.5048247777660212
13,10,0.65,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
14,10,0.7000000000000001,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
15,10,0.75,0.8358725761767065,0.7193150687262284,0.6092479812662327,0.5054980122920826
16,10,0.8,0.8353994490352373,0.7182400602838013,0.6076332051491611,0.5034828336117415
17,10,0.8500000000000001,0.8339052848312739,0.7157779934971121,0.6037538380204968,0.49913399040023787
18,10,0.9,0.8337912087906362,0.7146642552467631,0.6020849140080957,0.4973430931570215
19,10,0.9500000000000001,0.8364134154682844,0.717539669943291,0.605261717491347,0.5017577349777632
20,10,1.0,0.8373205741621071,0.7191573862961038,0.6074346625601805,0.5045906767420294
21,15,0.0,0.2478076379065777,0.08850542590915374,0.024400885443772592,1.4731277053180955e-06
22,15,0.05,0.6750164798940838,0.47814919192359323,0.33097703495127806,0.2283388385421458
23,15,0.1,0.7886740331486266,0.637088339029956,0.512169454161927,0.4119846766269615
24,15,0.15000000000000002,0.8109040717730773,0.6824165939173609,0.5666851385065637,0.46560745131408726
25,15,0.2,0.8159889731214225,0.6944910712622194,0.5818155029067308,0.4818569065674498
26,15,0.25,0.8107734806624235,0.6912627247489419,0.578034983598991,0.4776623679161217
27,15,0.30000000000000004,0.8196948682379891,0.7034644461196601,0.5891873311598618,0.4870827997562945
28,15,0.35000000000000003,0.8296089385469066,0.712734082717237,0.6023457672670313,0.5009600966758727
29,15,0.4,0.8318276580953219,0.7153635590528058,0.6058684911067541,0.5031481931339248
30,15,0.45,0.8317107093179196,0.7164927159711932,0.60790663004442,0.505867228818961
31,15,0.5,0.8314763231191982,0.7169486040430157,0.6093346942297382,0.5070150176176733
32,15,0.55,0.8358725761767065,0.7202125301716228,0.610971710972003,0.5078889100878821
33,15,0.6000000000000001,0.8351800554010836,0.718118820308384,0.6081663398117266,0.5048247777660212
34,15,0.65,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
35,15,0.7000000000000001,0.8356449375861057,0.7188744131820589,0.6089479385826733,0.5055657907582778
36,15,0.75,0.8358725761767065,0.7193150687262284,0.6092479812662327,0.5054980122920826
37,15,0.8,0.8353994490352373,0.7182400602838013,0.6076332051491611,0.5034828336117415
38,15,0.8500000000000001,0.8339052848312739,0.7157779934971121,0.6037538380204968,0.49913399040023787
39,15,0.9,0.8337912087906362,0.7146642552467631,0.6020849140080957,0.4973430931570215
40,15,0.9500000000000001,0.8364134154682844,0.717539669943291,0.605261717491347,0.5017577349777632
